File Version,BWSpec4.11_1
108,799.03,12515.17,224.33,1589.0000,65535.0000,2936.0000,329.2842,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
109,799.18,12512.81,226.69,1573.0000,65535.0000,2863.0000,266.7796,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
110,799.33,12510.46,229.05,1576.0000,65535.0000,2798.0000,193.3964,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
111,799.48,12508.10,231.40,1949.0000,65535.0000,3139.0000,156.1329,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
112,799.63,12505.74,233.76,1633.0000,65535.0000,2815.0000,142.9872,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
113,799.78,12503.39,236.11,1297.0000,65535.0000,2470.0000,128.9577,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
114,799.93,12501.03,238.47,1309.0000,65535.0000,2446.0000,88.0426,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
115,800.08,12498.68,240.82,1578.0000,65535.0000,2634.0000,2.2402,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
116,800.23,12496.33,243.17,1324.0000,65535.0000,2428.0000,45.5486,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
117,800.39,12493.98,245.52,1596.0000,65535.0000,2658.0000,-1.0338,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
118,800.54,12491.63,247.87,1421.0000,65535.0000,2520.0000,31.4912,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
119,800.69,12489.28,250.22,1673.0000,65535.0000,2740.0000,-4.8783,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
120,800.84,12486.93,252.57,1297.0000,65535.0000,2404.0000,30.8561,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
121,800.99,12484.59,254.92,1599.0000,65535.0000,2673.0000,-6.3073,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
122,801.14,12482.24,257.26,1632.0000,65535.0000,2744.0000,27.6296,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
123,801.29,12479.90,259.61,1411.0000,65535.0000,2540.0000,40.6652,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
124,801.44,12477.55,261.95,1244.0000,65535.0000,2331.0000,-5.2022,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
125,801.59,12475.21,264.29,1358.0000,65535.0000,2483.0000,29.0257,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
126,801.74,12472.87,266.63,1431.0000,65535.0000,2504.0000,-26.6527,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
127,801.89,12470.53,268.97,1729.0000,65535.0000,2788.0000,-44.2392,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
128,802.04,12468.19,271.31,1466.0000,65535.0000,2561.0000,-11.7351,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
129,802.19,12465.85,273.65,1745.0000,65535.0000,2830.0000,-25.1418,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
130,802.34,12463.51,275.99,1447.0000,65535.0000,2535.0000,-25.4603,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
131,802.49,12461.18,278.33,1398.0000,65535.0000,2487.0000,-27.6918,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
132,802.64,12458.84,280.66,1705.0000,65535.0000,2845.0000,20.1631,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
133,802.79,12456.51,283.00,1269.0000,65535.0000,2425.0000,33.1036,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
134,802.94,12454.17,285.33,1743.0000,65535.0000,2886.0000,17.1290,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
135,803.09,12451.84,287.66,1654.0000,65535.0000,2841.0000,58.2388,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
136,803.24,12449.51,289.99,1498.0000,65535.0000,2674.0000,44.4320,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
137,803.39,12447.18,292.32,1508.0000,65535.0000,2664.0000,21.7080,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
138,803.55,12444.85,294.65,1594.0000,65535.0000,2822.0000,91.0659,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
139,803.70,12442.52,296.98,1399.0000,65535.0000,2621.0000,82.5051,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
140,803.85,12440.19,299.31,1775.0000,65535.0000,2999.0000,82.0247,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
141,804.00,12437.87,301.64,1324.0000,65535.0000,2613.0000,144.6239,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
142,804.15,12435.54,303.96,1404.0000,65535.0000,2736.0000,185.3021,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
143,804.30,12433.22,306.29,1283.0000,65535.0000,2601.0000,169.0583,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
144,804.45,12430.89,308.61,1483.0000,65535.0000,2818.0000,183.8919,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
145,804.60,12428.57,310.93,1615.0000,65535.0000,2974.0000,205.8021,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
146,804.75,12426.25,313.25,1518.0000,65535.0000,2872.0000,198.7880,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
147,804.90,12423.93,315.57,1760.0000,65535.0000,3121.0000,203.8490,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
148,805.05,12421.61,317.89,1370.0000,65535.0000,2741.0000,211.9843,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
149,805.20,12419.29,320.21,1399.0000,65535.0000,2816.0000,256.1930,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
150,805.35,12416.97,322.53,1493.0000,65535.0000,2885.0000,229.4745,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
151,805.50,12414.66,324.85,1645.0000,65535.0000,2968.0000,158.8279,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
