File Version,BWSpec4.11_1
100,797.82,12534.08,205.42,0.0000,65535.0000,4400.0000,1253.1717,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
101,797.98,12531.71,207.79,0.0000,65535.0000,4169.0000,1009.1290,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
102,798.13,12529.35,210.16,0.0000,65535.0000,4277.0000,1104.2607,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
103,798.28,12526.98,212.52,0.0000,65535.0000,3954.0000,768.5662,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
104,798.43,12524.62,214.88,0.0000,65535.0000,3977.0000,779.0447,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
105,798.58,12522.25,217.25,0.0000,65535.0000,4105.0000,894.6956,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
106,798.73,12519.89,219.61,0.0000,65535.0000,4169.0000,946.5180,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
107,798.88,12517.53,221.97,0.0000,65535.0000,4085.0000,850.5113,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
108,799.03,12515.17,224.33,0.0000,65535.0000,3958.0000,711.6747,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
109,799.18,12512.81,226.69,0.0000,65535.0000,3936.0000,678.0075,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
110,799.33,12510.46,229.05,0.0000,65535.0000,3858.0000,588.5089,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
111,799.48,12508.10,231.40,0.0000,65535.0000,4203.0000,922.1781,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
112,799.63,12505.74,233.76,0.0000,65535.0000,3856.0000,564.0145,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
113,799.78,12503.39,236.11,0.0000,65535.0000,3561.0000,258.0173,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
114,799.93,12501.03,238.47,0.0000,65535.0000,3579.0000,265.1857,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
115,800.08,12498.68,240.82,0.0000,65535.0000,3788.0000,463.5190,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
116,800.23,12496.33,243.17,0.0000,65535.0000,3517.0000,182.0165,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
117,800.39,12493.98,245.52,0.0000,65535.0000,3808.0000,462.6775,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
118,800.54,12491.63,247.87,0.0000,65535.0000,3647.0000,291.5011,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
119,800.69,12489.28,250.22,0.0000,65535.0000,3810.0000,444.4866,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
120,800.84,12486.93,252.57,0.0000,65535.0000,3456.0000,80.6334,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
121,800.99,12484.59,254.92,0.0000,65535.0000,3764.0000,378.9406,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
122,801.14,12482.24,257.26,0.0000,65535.0000,3870.0000,475.4075,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
123,801.29,12479.90,259.61,0.0000,65535.0000,3612.0000,208.0334,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
124,801.44,12477.55,261.95,0.0000,65535.0000,3411.0000,-2.1825,0.0000,0.0000,0.0000E+00,1.0000,1.0000,1.0000,
